TREE_SCORE
36.22067745181044

PARENT_NODE	CHILD_NODE
7	0.5379,0.6447,0.4998,0.0000	0.5379,0.6447,0.4998,0.0000
8	0.0000,0.0000,0.0000,0.0000	0.0000,0.0000,0.0000,0.4477
9	0.0000,0.0000,0.0000,0.4477	0.0000,0.0000,0.0000,0.4477

MUT_ID	OBSERVED_FREQS	INFERRED_FREQS	ABS_OBSERVED_MINUS_INFERRED
chr10:35190958	0.9461,0.9585,0.9362,0.0000	0.5998,0.6447,0.4998,0.0000	0.3463,0.3138,0.4364,0.0000
chr11:2385519	0.5293,0.7170,0.5099,0.0000	0.5379,0.6447,0.4998,0.0000	0.0086,0.0724,0.0101,0.0000
chr12:22509130	0.8282,0.8943,0.8208,0.0000	0.5998,0.6447,0.4998,0.0000	0.2283,0.2496,0.3210,0.0000
chr13:71027393	0.8507,0.9144,0.8368,0.0000	0.5998,0.6447,0.4998,0.0000	0.2509,0.2697,0.3370,0.0000
chr14:100184987	0.8729,0.9265,0.8618,0.0000	0.5998,0.6447,0.4998,0.0000	0.2731,0.2818,0.3620,0.0000
chr16:55086544	0.8423,0.9013,0.8300,0.0000	0.5998,0.6447,0.4998,0.0000	0.2424,0.2567,0.3302,0.0000
chr16:758231	0.8759,0.9178,0.8665,0.0000	0.5998,0.6447,0.4998,0.0000	0.2761,0.2731,0.3667,0.0000
chr17:41424507	0.3793,0.7248,0.4832,0.0000	0.5379,0.6447,0.4998,0.0000	0.1586,0.0802,0.0166,0.0000
chr19:7451021	0.6181,0.7749,0.6143,0.0000	0.5379,0.6447,0.4998,0.0000	0.0802,0.1303,0.1145,0.0000
chr1:16635027	0.9187,0.9410,0.9093,0.0000	0.5998,0.6447,0.4998,0.0000	0.3189,0.2964,0.4095,0.0000
chr20:29059469	0.9480,0.9594,0.9384,0.0000	0.5998,0.6447,0.4998,0.0000	0.3481,0.3147,0.4386,0.0000
chr21:10329899	0.5062,0.7077,0.5010,0.0000	0.5379,0.6447,0.4998,0.0000	0.0316,0.0630,0.0012,0.0000
chr21:10417801	0.5166,0.7209,0.5191,0.0000	0.5379,0.6447,0.4998,0.0000	0.0213,0.0762,0.0193,0.0000
chr21:10445925	0.7896,0.8539,0.7856,0.0000	0.5998,0.6447,0.4998,0.0000	0.1898,0.2092,0.2858,0.0000
chr21:9246746	0.6253,0.7658,0.6146,0.0000	0.5379,0.6447,0.4998,0.0000	0.0874,0.1211,0.1148,0.0000
chr22:10744644	0.5394,0.7405,0.5328,0.0000	0.5379,0.6447,0.4998,0.0000	0.0015,0.0958,0.0330,0.0000
chr22:11057057	0.6465,0.7746,0.6289,0.0000	0.5379,0.6447,0.4998,0.0000	0.1086,0.1299,0.1291,0.0000
chr22:21555351	0.7467,0.8525,0.7371,0.0000	0.5998,0.6447,0.4998,0.0000	0.1469,0.2078,0.2373,0.0000
chr2:168253884	0.9281,0.9496,0.9205,0.0000	0.5998,0.6447,0.4998,0.0000	0.3282,0.3049,0.4207,0.0000
chr2:61789950	0.8725,0.9149,0.8540,0.0000	0.5998,0.6447,0.4998,0.0000	0.2727,0.2702,0.3542,0.0000
chr4:118384421	0.9282,0.9501,0.9197,0.0000	0.5998,0.6447,0.4998,0.0000	0.3284,0.3054,0.4199,0.0000
chr4:78253573	0.9379,0.9542,0.9281,0.0000	0.5998,0.6447,0.4998,0.0000	0.3380,0.3095,0.4283,0.0000
chr5:143910268	0.9430,0.9567,0.9329,0.0000	0.5998,0.6447,0.4998,0.0000	0.3432,0.3120,0.4331,0.0000
chr6:10447082	0.6621,0.8289,0.6512,0.0000	0.5379,0.6447,0.4998,0.0000	0.1242,0.1842,0.1514,0.0000
chr6:150131673	0.8288,0.8902,0.8186,0.0000	0.5998,0.6447,0.4998,0.0000	0.2290,0.2455,0.3188,0.0000
chr6:32554431	0.7757,0.8599,0.7537,0.0000	0.5998,0.6447,0.4998,0.0000	0.1759,0.2152,0.2539,0.0000
chr6:32554456	0.7697,0.8615,0.7405,0.0000	0.5998,0.6447,0.4998,0.0000	0.1699,0.2168,0.2407,0.0000
chr7:100973146	0.4270,0.6691,0.4270,0.0000	0.5379,0.6447,0.4998,0.0000	0.1109,0.0244,0.0728,0.0000
chr7:100973185	0.4862,0.7373,0.4780,0.0000	0.5379,0.6447,0.4998,0.0000	0.0517,0.0926,0.0218,0.0000
chr7:100973191	0.5076,0.7478,0.4983,0.0000	0.5379,0.6447,0.4998,0.0000	0.0303,0.1031,0.0015,0.0000
chr7:100973217	0.5886,0.7834,0.5724,0.0000	0.5379,0.6447,0.4998,0.0000	0.0508,0.1387,0.0726,0.0000
chr7:100973224	0.6168,0.8019,0.6011,0.0000	0.5379,0.6447,0.4998,0.0000	0.0789,0.1572,0.1013,0.0000
chr7:152403470	0.6600,0.7707,0.6011,0.0000	0.5379,0.6447,0.4998,0.0000	0.1221,0.1260,0.1014,0.0000
chr7:22030019	0.8946,0.9323,0.8833,0.0000	0.5998,0.6447,0.4998,0.0000	0.2948,0.2876,0.3835,0.0000
chr7:77473226	0.8698,0.9250,0.8585,0.0000	0.5998,0.6447,0.4998,0.0000	0.2699,0.2803,0.3587,0.0000
chr8:144993590	0.9310,0.9474,0.9213,0.0000	0.5998,0.6447,0.4998,0.0000	0.3312,0.3027,0.4215,0.0000
chr8:1858293	0.8126,0.8812,0.7959,0.0000	0.5998,0.6447,0.4998,0.0000	0.2127,0.2365,0.2961,0.0000
chr8:48021844	0.9362,0.9519,0.9257,0.0000	0.5998,0.6447,0.4998,0.0000	0.3363,0.3072,0.4259,0.0000
chr9:33367981	0.9003,0.9363,0.8886,0.0000	0.5998,0.6447,0.4998,0.0000	0.3004,0.2916,0.3888,0.0000
chr9:33797664	0.4863,0.6951,0.4707,0.0000	0.5379,0.6447,0.4998,0.0000	0.0516,0.0504,0.0291,0.0000
chr9:33797665	0.4750,0.6896,0.4621,0.0000	0.5379,0.6447,0.4998,0.0000	0.0629,0.0449,0.0377,0.0000
chr9:509285	0.8998,0.9298,0.8873,0.0000	0.5998,0.6447,0.4998,0.0000	0.3000,0.2852,0.3875,0.0000
chr9:65389815	0.4729,0.6756,0.4706,0.0000	0.5379,0.6447,0.4998,0.0000	0.0650,0.0309,0.0292,0.0000
chr9:65389841	0.4599,0.6646,0.4572,0.0000	0.5379,0.6447,0.4998,0.0000	0.0780,0.0199,0.0426,0.0000
chr9:66184841	0.5546,0.7587,0.5459,0.0000	0.5379,0.6447,0.4998,0.0000	0.0167,0.1140,0.0461,0.0000
chr9:91742118	0.9331,0.9492,0.9213,0.0000	0.5998,0.6447,0.4998,0.0000	0.3333,0.3046,0.4215,0.0000
chr12:111649006	0.9133,0.9601,0.0000,0.9362	0.5998,0.6447,0.4998,0.9200	0.3134,0.3154,0.4998,0.0162
chr17:67682883	0.9125,0.9571,0.0000,0.9325	0.5998,0.6447,0.4998,0.9200	0.3126,0.3124,0.4998,0.0125
chr20:33795887	0.9135,0.9589,0.0000,0.9362	0.5998,0.6447,0.4998,0.9200	0.3137,0.3143,0.4998,0.0162
chr2:20505119	0.9114,0.9596,0.0000,0.9353	0.5998,0.6447,0.4998,0.9200	0.3116,0.3149,0.4998,0.0154
chr2:20505129	0.9119,0.9602,0.0000,0.9353	0.5998,0.6447,0.4998,0.9200	0.3120,0.3155,0.4998,0.0153
chr3:125420133	0.9127,0.9597,0.0000,0.9356	0.5998,0.6447,0.4998,0.9200	0.3129,0.3150,0.4998,0.0156
chr3:183579769	0.9148,0.9610,0.0000,0.9368	0.5998,0.6447,0.4998,0.9200	0.3150,0.3163,0.4998,0.0168
chr3:35505119	0.9142,0.9610,0.0000,0.9368	0.5998,0.6447,0.4998,0.9200	0.3143,0.3163,0.4998,0.0168
chr3:64124514	0.9148,0.9605,0.0000,0.9372	0.5998,0.6447,0.4998,0.9200	0.3150,0.3158,0.4998,0.0172
chr4:188270148	0.9121,0.9580,0.0000,0.9357	0.5998,0.6447,0.4998,0.9200	0.3122,0.3133,0.4998,0.0157
chr4:54705792	0.9145,0.9612,0.0000,0.9371	0.5998,0.6447,0.4998,0.9200	0.3147,0.3165,0.4998,0.0171
chr4:54705793	0.9145,0.9611,0.0000,0.9371	0.5998,0.6447,0.4998,0.9200	0.3146,0.3164,0.4998,0.0171
chr4:9193417	0.9033,0.9488,0.0000,0.9219	0.5998,0.6447,0.4998,0.9200	0.3035,0.3042,0.4998,0.0019
chr5:100187928	0.9143,0.9606,0.0000,0.9369	0.5998,0.6447,0.4998,0.9200	0.3145,0.3160,0.4998,0.0170
chr5:180517892	0.9068,0.9511,0.0000,0.9278	0.5998,0.6447,0.4998,0.9200	0.3070,0.3064,0.4998,0.0078
chr8:27028517	0.9148,0.9610,0.0000,0.9367	0.5998,0.6447,0.4998,0.9200	0.3150,0.3163,0.4998,0.0167
chr8:34631643	0.9137,0.9590,0.0000,0.9363	0.5998,0.6447,0.4998,0.9200	0.3139,0.3143,0.4998,0.0163
chr11:115899304	0.9019,0.0000,0.9294,0.9187	0.5998,0.6447,0.9093,0.9200	0.3021,0.6447,0.0201,0.0013
chr12:130406953	0.8929,0.0000,0.9230,0.9090	0.5998,0.6447,0.9093,0.9200	0.2931,0.6447,0.0137,0.0110
chr12:42119028	0.8436,0.0000,0.8788,0.8846	0.5998,0.6447,0.9093,0.9200	0.2438,0.6447,0.0305,0.0353
chr15:20353248	0.8963,0.0000,0.9168,0.9155	0.5998,0.6447,0.9093,0.9200	0.2964,0.6447,0.0075,0.0045
chr17:18545248	0.8963,0.0000,0.9226,0.9117	0.5998,0.6447,0.9093,0.9200	0.2965,0.6447,0.0133,0.0083
chr18:14780057	0.8937,0.0000,0.9186,0.9099	0.5998,0.6447,0.9093,0.9200	0.2938,0.6447,0.0093,0.0101
chr19:39736313	0.2676,0.0000,0.3184,0.5207	0.0000,0.0000,0.0000,0.4477	0.2676,0.0000,0.3184,0.0731
chr19:39736316	0.2706,0.0000,0.3183,0.5209	0.0000,0.0000,0.0000,0.4477	0.2706,0.0000,0.3183,0.0732
chr1:158139878	0.9023,0.0000,0.9259,0.9156	0.5998,0.6447,0.9093,0.9200	0.3024,0.6447,0.0166,0.0044
chr1:44372140	0.8909,0.0000,0.9226,0.9039	0.5998,0.6447,0.9093,0.9200	0.2911,0.6447,0.0132,0.0161
chr2:149212100	0.8306,0.0000,0.8679,0.8748	0.5998,0.6447,0.9093,0.9200	0.2308,0.6447,0.0415,0.0452
chr4:154011094	0.8668,0.0000,0.8973,0.8968	0.5998,0.6447,0.9093,0.9200	0.2670,0.6447,0.0120,0.0232
chr4:169495494	0.8191,0.0000,0.8497,0.8626	0.5998,0.6447,0.9093,0.9200	0.2192,0.6447,0.0596,0.0574
chr4:80266653	0.9028,0.0000,0.9259,0.9158	0.5998,0.6447,0.9093,0.9200	0.3029,0.6447,0.0166,0.0042
chr5:157876905	0.8962,0.0000,0.9132,0.8984	0.5998,0.6447,0.9093,0.9200	0.2963,0.6447,0.0039,0.0215
chr5:24749335	0.2755,0.0000,0.4110,0.5667	0.0000,0.0000,0.0000,0.4477	0.2755,0.0000,0.4110,0.1191
chr7:151357006	0.8983,0.0000,0.9237,0.9168	0.5998,0.6447,0.9093,0.9200	0.2985,0.6447,0.0144,0.0032
chr8:11929426	0.2748,0.0000,0.3224,0.4995	0.0000,0.0000,0.0000,0.4477	0.2748,0.0000,0.3224,0.0518
chr8:29509841	0.8991,0.0000,0.9246,0.9141	0.5998,0.6447,0.9093,0.9200	0.2993,0.6447,0.0152,0.0059
chr11:18850562	0.0000,0.9644,0.9564,0.9336	0.5998,0.9547,0.9466,0.9274	0.5998,0.0097,0.0098,0.0062
chr11:36102177	0.0000,0.9547,0.9493,0.9252	0.5998,0.9547,0.9466,0.9274	0.5998,0.0000,0.0026,0.0022
chr13:86562546	0.0000,0.9642,0.9562,0.9328	0.5998,0.9547,0.9466,0.9274	0.5998,0.0095,0.0096,0.0053
chr14:67698377	0.0000,0.9642,0.9564,0.9337	0.5998,0.9547,0.9466,0.9274	0.5998,0.0095,0.0097,0.0063
chr15:54693789	0.0000,0.9638,0.9559,0.9333	0.5998,0.9547,0.9466,0.9274	0.5998,0.0091,0.0093,0.0058
chr16:14274583	0.0000,0.9631,0.9551,0.9323	0.5998,0.9547,0.9466,0.9274	0.5998,0.0084,0.0084,0.0048
chr16:17010064	0.0000,0.9645,0.9558,0.9320	0.5998,0.9547,0.9466,0.9274	0.5998,0.0098,0.0092,0.0046
chr19:48834713	0.0000,0.4635,0.4109,0.6434	0.0000,0.0000,0.0000,0.4477	0.0000,0.4635,0.4109,0.1958
chr19:51363700	0.0000,0.9610,0.9533,0.9317	0.5998,0.9547,0.9466,0.9274	0.5998,0.0062,0.0067,0.0043
chr1:154238981	0.0000,0.9011,0.8911,0.8893	0.5998,0.9547,0.9466,0.9274	0.5998,0.0536,0.0555,0.0382
chr1:181441425	0.0000,0.9599,0.9501,0.9295	0.5998,0.9547,0.9466,0.9274	0.5998,0.0052,0.0035,0.0020
chr1:59826965	0.0000,0.9498,0.9401,0.9272	0.5998,0.9547,0.9466,0.9274	0.5998,0.0049,0.0065,0.0003
chr2:57305422	0.0000,0.9005,0.8888,0.9128	0.5998,0.9547,0.9466,0.9274	0.5998,0.0542,0.0578,0.0146
chr3:124393248	0.0000,0.9584,0.9514,0.9291	0.5998,0.9547,0.9466,0.9274	0.5998,0.0036,0.0048,0.0017
chr3:170262887	0.0000,0.9642,0.9564,0.9334	0.5998,0.9547,0.9466,0.9274	0.5998,0.0095,0.0098,0.0059
chr3:170262903	0.0000,0.9619,0.9541,0.9315	0.5998,0.9547,0.9466,0.9274	0.5998,0.0071,0.0075,0.0041
chr5:174922772	0.0000,0.9590,0.9515,0.9296	0.5998,0.9547,0.9466,0.9274	0.5998,0.0043,0.0049,0.0022
chr5:758344	0.0000,0.4257,0.3730,0.6876	0.0000,0.0000,0.0000,0.4477	0.0000,0.4257,0.3730,0.2399
chr6:159990927	0.0000,0.9582,0.9509,0.9291	0.5998,0.9547,0.9466,0.9274	0.5998,0.0035,0.0043,0.0016
chr7:152405065	0.0000,0.4479,0.3627,0.6730	0.0000,0.0000,0.0000,0.4477	0.0000,0.4479,0.3627,0.2254
chr7:18817300	0.0000,0.9448,0.9429,0.9135	0.5998,0.9547,0.9466,0.9274	0.5998,0.0099,0.0037,0.0140
chr7:26946196	0.0000,0.9634,0.9563,0.9331	0.5998,0.9547,0.9466,0.9274	0.5998,0.0087,0.0097,0.0057
chr7:35112787	0.0000,0.9642,0.9535,0.9319	0.5998,0.9547,0.9466,0.9274	0.5998,0.0094,0.0069,0.0044
chr7:35112793	0.0000,0.9640,0.9534,0.9316	0.5998,0.9547,0.9466,0.9274	0.5998,0.0092,0.0068,0.0042
chr10:14820464	0.9904,0.9898,0.9927,0.9858	0.9737,0.9694,0.9729,0.9647	0.0167,0.0204,0.0198,0.0211
chr10:25928466	0.9899,0.9843,0.9924,0.9845	0.9737,0.9694,0.9729,0.9647	0.0162,0.0150,0.0195,0.0198
chr10:45677035	0.9901,0.9879,0.9921,0.9844	0.9737,0.9694,0.9729,0.9647	0.0165,0.0186,0.0192,0.0197
chr10:45759328	0.9246,0.8878,0.9131,0.8978	0.9737,0.9694,0.9729,0.9647	0.0490,0.0815,0.0598,0.0669
chr10:50660355	0.4909,0.5014,0.4345,0.4198	0.5998,0.6447,0.4998,0.4477	0.1090,0.1433,0.0653,0.0278
chr10:98454774	0.9909,0.9899,0.9932,0.9863	0.9737,0.9694,0.9729,0.9647	0.0173,0.0205,0.0203,0.0216
chr11:10802029	0.9553,0.9546,0.9593,0.9625	0.9737,0.9694,0.9729,0.9647	0.0184,0.0148,0.0136,0.0022
chr11:123205300	0.9906,0.9898,0.9929,0.9860	0.9737,0.9694,0.9729,0.9647	0.0169,0.0205,0.0200,0.0213
chr11:129895735	0.9910,0.9899,0.9933,0.9863	0.9737,0.9694,0.9729,0.9647	0.0173,0.0205,0.0203,0.0216
chr11:13236448	0.9900,0.9892,0.9924,0.9854	0.9737,0.9694,0.9729,0.9647	0.0164,0.0198,0.0195,0.0207
chr11:18450399	0.9748,0.9741,0.9746,0.9688	0.9737,0.9694,0.9729,0.9647	0.0011,0.0048,0.0016,0.0041
chr11:31354013	0.9895,0.9879,0.9917,0.9843	0.9737,0.9694,0.9729,0.9647	0.0158,0.0185,0.0188,0.0196
chr11:32845442	0.9908,0.9898,0.9931,0.9861	0.9737,0.9694,0.9729,0.9647	0.0171,0.0205,0.0202,0.0214
chr11:48526164	0.9902,0.9893,0.9925,0.9855	0.9737,0.9694,0.9729,0.9647	0.0166,0.0199,0.0196,0.0208
chr11:4955891	0.8012,0.7720,0.7727,0.7689	0.9737,0.9694,0.9729,0.9647	0.1724,0.1974,0.2002,0.1958
chr11:56144426	0.8839,0.8511,0.8445,0.8544	0.9737,0.9694,0.9729,0.9647	0.0898,0.1182,0.1284,0.1103
chr11:56144429	0.8786,0.8459,0.8394,0.8485	0.9737,0.9694,0.9729,0.9647	0.0951,0.1235,0.1336,0.1162
chr11:65980644	0.9894,0.9884,0.9918,0.9855	0.9737,0.9694,0.9729,0.9647	0.0157,0.0191,0.0189,0.0208
chr11:66461242	0.9907,0.9898,0.9933,0.9862	0.9737,0.9694,0.9729,0.9647	0.0171,0.0205,0.0203,0.0215
chr11:6712421	0.9747,0.9709,0.9741,0.9683	0.9737,0.9694,0.9729,0.9647	0.0011,0.0016,0.0012,0.0036
chr11:68558508	0.5419,0.5575,0.5621,0.5367	0.5998,0.6447,0.4998,0.4477	0.0579,0.0872,0.0623,0.0891
chr11:73337222	0.9906,0.9896,0.9928,0.9859	0.9737,0.9694,0.9729,0.9647	0.0169,0.0202,0.0199,0.0212
chr11:84645762	0.9910,0.9901,0.9934,0.9864	0.9737,0.9694,0.9729,0.9647	0.0173,0.0207,0.0205,0.0217
chr12:29361016	0.9904,0.9897,0.9929,0.9854	0.9737,0.9694,0.9729,0.9647	0.0167,0.0204,0.0200,0.0208
chr12:8275504	0.9807,0.9793,0.9826,0.9744	0.9737,0.9694,0.9729,0.9647	0.0071,0.0100,0.0097,0.0097
chr14:101426231	0.9907,0.9898,0.9930,0.9862	0.9737,0.9694,0.9729,0.9647	0.0170,0.0204,0.0200,0.0215
chr14:105668112	0.4554,0.4945,0.4577,0.4316	0.5998,0.6447,0.4998,0.4477	0.1444,0.1502,0.0421,0.0160
chr14:18334019	0.8772,0.8671,0.8333,0.8395	0.9737,0.9694,0.9729,0.9647	0.0965,0.1022,0.1396,0.1252
chr14:23104907	0.4689,0.5301,0.4672,0.4335	0.5998,0.6447,0.4998,0.4477	0.1310,0.1146,0.0326,0.0142
chr14:24286949	0.9870,0.9866,0.9891,0.9819	0.9737,0.9694,0.9729,0.9647	0.0134,0.0172,0.0162,0.0172
chr14:27752022	0.9897,0.9882,0.9916,0.9849	0.9737,0.9694,0.9729,0.9647	0.0160,0.0188,0.0187,0.0202
chr14:38115333	0.9881,0.9866,0.9899,0.9828	0.9737,0.9694,0.9729,0.9647	0.0144,0.0173,0.0169,0.0182
chr14:45935271	0.9901,0.9895,0.9925,0.9857	0.9737,0.9694,0.9729,0.9647	0.0165,0.0202,0.0196,0.0210
chr14:46395461	0.9900,0.9893,0.9927,0.9854	0.9737,0.9694,0.9729,0.9647	0.0164,0.0200,0.0198,0.0207
chr14:53343471	0.9879,0.9866,0.9898,0.9834	0.9737,0.9694,0.9729,0.9647	0.0143,0.0173,0.0169,0.0187
chr14:58161486	0.9904,0.9893,0.9929,0.9857	0.9737,0.9694,0.9729,0.9647	0.0167,0.0199,0.0199,0.0210
chr14:63250832	0.9907,0.9898,0.9931,0.9861	0.9737,0.9694,0.9729,0.9647	0.0170,0.0204,0.0201,0.0215
chr14:70477996	0.9899,0.9894,0.9925,0.9853	0.9737,0.9694,0.9729,0.9647	0.0162,0.0200,0.0196,0.0206
chr14:75937432	0.9717,0.9698,0.9726,0.9643	0.9737,0.9694,0.9729,0.9647	0.0020,0.0005,0.0003,0.0004
chr14:77649279	0.9903,0.9896,0.9927,0.9858	0.9737,0.9694,0.9729,0.9647	0.0166,0.0202,0.0197,0.0211
